특성별,교통수단별,항목,단위,2017 년,2018 년,2019 년
휴가 및 순수여행,시티투어버스,제주여행 교통수단,%,0.3,0.5,0.4
휴가 및 순수여행,"자전거, 오토바이",제주여행 교통수단,%,1.1,0.6,0.6
휴가 및 순수여행,친구 및 지인차량,제주여행 교통수단,%,,1.6,1.1
휴가 및 순수여행,기타,제주여행 교통수단,%,5,3.1,2
비즈니스여행,응답자수,제주여행 교통수단,명,521,405,194
비즈니스여행,렌터카,제주여행 교통수단,%,45.3,44.4,45
비즈니스여행,대절택시(가이드동반차량),제주여행 교통수단,%,0.9,,
비즈니스여행,버스,제주여행 교통수단,%,8.3,6.4,10.3
비즈니스여행,택시,제주여행 교통수단,%,21.8,17.5,16
비즈니스여행,전세버스(여행사제공),제주여행 교통수단,%,12.2,10.8,15.2
비즈니스여행,시티투어버스,제주여행 교통수단,%,0,0,1.3
비즈니스여행,"자전거, 오토바이",제주여행 교통수단,%,0.5,0,0
비즈니스여행,친구 및 지인차량,제주여행 교통수단,%,,7.3,4.7
비즈니스여행,기타,제주여행 교통수단,%,11,13.5,7.5
기타여행,응답자수,제주여행 교통수단,명,504,204,94
기타여행,렌터카,제주여행 교통수단,%,33.2,35.6,35.7
기타여행,대절택시(가이드동반차량),제주여행 교통수단,%,0.2,,
기타여행,버스,제주여행 교통수단,%,16.6,12.3,8.6
기타여행,택시,제주여행 교통수단,%,13.9,10.4,9.6
기타여행,전세버스(여행사제공),제주여행 교통수단,%,15,2.7,12.7
기타여행,시티투어버스,제주여행 교통수단,%,0.7,0.6,0
기타여행,"자전거, 오토바이",제주여행 교통수단,%,1.1,0.1,0.6
기타여행,친구 및 지인차량,제주여행 교통수단,%,,29.3,32.1
기타여행,기타,제주여행 교통수단,%,19.3,9,0.6
개별여행,응답자수,제주여행 교통수단,명,5396,5884,5909
개별여행,렌터카,제주여행 교통수단,%,68.4,83.9,89.5
개별여행,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
개별여행,버스,제주여행 교통수단,%,12.5,4.2,3.3
개별여행,택시,제주여행 교통수단,%,9.4,4.3,2.6
개별여행,전세버스(여행사제공),제주여행 교통수단,%,0.7,0.3,0.4
개별여행,시티투어버스,제주여행 교통수단,%,0.2,0.4,0.3
개별여행,"자전거, 오토바이",제주여행 교통수단,%,1.1,0.5,0.6
개별여행,친구 및 지인차량,제주여행 교통수단,%,,3.1,1.8
개별여행,기타,제주여행 교통수단,%,7.2,3.3,1.6
완전패키지여행,응답자수,제주여행 교통수단,명,314,248,203
완전패키지여행,렌터카,제주여행 교통수단,%,12.4,0,0
완전패키지여행,대절택시(가이드동반차량),제주여행 교통수단,%,2.5,,
완전패키지여행,버스,제주여행 교통수단,%,5.3,3.6,1.2
완전패키지여행,택시,제주여행 교통수단,%,1.9,0.5,0
완전패키지여행,전세버스(여행사제공),제주여행 교통수단,%,76.5,83.7,87.5
완전패키지여행,시티투어버스,제주여행 교통수단,%,0.8,1.1,3.2
완전패키지여행,"자전거, 오토바이",제주여행 교통수단,%,0,0.3,0
완전패키지여행,친구 및 지인차량,제주여행 교통수단,%,,0.5,0
완전패키지여행,기타,제주여행 교통수단,%,0.7,10.3,8.1
부분패키지여행,응답자수,제주여행 교통수단,명,122,49,21
부분패키지여행,렌터카,제주여행 교통수단,%,70.8,23.2,5.9
부분패키지여행,대절택시(가이드동반차량),제주여행 교통수단,%,2.9,,
부분패키지여행,버스,제주여행 교통수단,%,5.4,0,0
부분패키지여행,택시,제주여행 교통수단,%,6.8,7.3,0
부분패키지여행,전세버스(여행사제공),제주여행 교통수단,%,7.7,7.4,6.7
부분패키지여행,시티투어버스,제주여행 교통수단,%,3.8,2.5,5.6
부분패키지여행,"자전거, 오토바이",제주여행 교통수단,%,0,0,0
부분패키지여행,친구 및 지인차량,제주여행 교통수단,%,,0,0
부분패키지여행,기타,제주여행 교통수단,%,2.6,59.6,81.7
1회,응답자수,제주여행 교통수단,명,1759,1934,1863
1회,렌터카,제주여행 교통수단,%,64,81.4,88
1회,대절택시(가이드동반차량),제주여행 교통수단,%,1.2,,
1회,버스,제주여행 교통수단,%,13.1,4.6,3.1
1회,택시,제주여행 교통수단,%,8.8,4.2,2.1
1회,전세버스(여행사제공),제주여행 교통수단,%,6.6,3.7,3.6
1회,시티투어버스,제주여행 교통수단,%,0.3,0.2,0.5
1회,"자전거, 오토바이",제주여행 교통수단,%,1.5,0.6,0.3
1회,친구 및 지인차량,제주여행 교통수단,%,,1.8,0.7
1회,기타,제주여행 교통수단,%,4.5,3.5,1.7
2회,응답자수,제주여행 교통수단,명,1557,2483,2546
2회,렌터카,제주여행 교통수단,%,69.4,84.9,90.3
2회,대절택시(가이드동반차량),제주여행 교통수단,%,0.5,,
2회,버스,제주여행 교통수단,%,9.9,2.9,2.3
2회,택시,제주여행 교통수단,%,8.7,2.8,1.6
2회,전세버스(여행사제공),제주여행 교통수단,%,4.8,3.5,2.2
2회,시티투어버스,제주여행 교통수단,%,0.5,0.5,0.5
2회,"자전거, 오토바이",제주여행 교통수단,%,0.8,0.5,0.5
2회,친구 및 지인차량,제주여행 교통수단,%,,1.7,0.7
2회,기타,제주여행 교통수단,%,5.4,3.1,1.9
3회,응답자수,제주여행 교통수단,명,910,813,830
3회,렌터카,제주여행 교통수단,%,66,80,83.3
3회,대절택시(가이드동반차량),제주여행 교통수단,%,0.6,,
3회,버스,제주여행 교통수단,%,11.7,3.8,3.7
3회,택시,제주여행 교통수단,%,9.2,4.3,3.2
3회,전세버스(여행사제공),제주여행 교통수단,%,5.1,4.5,4.4
