,pt_month,biz_nm,base_year_month,age,user_cnt,use_cnt,use_amt,pt_year
223,6,면세점,108169316,19390.0,301498,456475,32387261058,1081661
224,6,버스 운송업,605218,60.0,12,14,19360000,6052
225,6,비알콜 음료점업,1184828726,223590.0,393318,428954,4465508295,11847935
226,6,빵 및 과자류 소매업,1178760646,228200.0,382906,411463,5908918569,11787256
227,6,서양식 음식점업,1442146876,272090.0,486174,530004,12409386801,14421040
228,6,수산물 소매업,852430244,170180.0,86553,96458,7691636494,8524049
229,6,슈퍼마켓,1544227312,296340.0,1492118,1781423,48261962560,15441814
230,6,스포츠 및 레크레이션 용품 임대업,856466864,166970.0,114297,125481,11998328345,8564414
231,6,여관업,722272974,137510.0,130761,148394,16418836277,7222515
232,6,여행사업,173350554,31050.0,12304,12807,2614150203,1733454
233,6,욕탕업,520877086,104500.0,30395,33323,699840495,5208616
234,6,육류 소매업,801977744,162350.0,77649,83470,6378362766,8019539
235,6,일반유흥 주점업,405226648,79760.0,50234,55420,12006260546,4052146
236,6,일식 음식점업,1074430444,213000.0,162746,166857,12366339777,10743985
237,6,자동차 임대업,228243686,42740.0,64439,65219,5206796585,2282369
238,6,전시 및 행사 대행업,521273898,97600.0,128467,148869,5664107099,5212584
239,6,정기 항공 운송업,30271100,5780.0,92852,94022,15670328289,302702
240,6,중식 음식점업,1097430928,215330.0,147493,154841,4612850260,10973983
241,6,차량용 가스 충전업,533985976,110350.0,42394,44200,2574003302,5339701
242,6,차량용 주유소 운영업,1284492990,260490.0,804597,847654,45518892702,12844548
243,6,체인화 편의점,1850994032,345230.0,2877851,3312705,26904941391,18509390
244,6,택시 운송업,403812,0.0,3,4,1175000,4038
245,6,"피자, 햄버거, 샌드위치 및 유사 음식점업",969889936,181960.0,349872,377847,4948036988,9698611
246,6,한식 음식점업,1913740598,357710.0,2591626,2765465,118676693562,19136837
247,6,호텔업,225418402,43420.0,46534,54054,17865808079,2254117
248,6,화장품 및 방향제 소매업,583821058,110880.0,61723,67682,3242675566,5838037
249,6,휴양콘도 운영업,246613332,47680.0,50799,60192,6612211709,2466060
250,7,건강보조식품 소매업,236316397,46220.0,5180,5465,1930190397,2363082
251,7,골프장 운영업,214316234,44820.0,85901,93001,13927121076,2143088
252,7,과실 및 채소 소매업,1147478302,227870.0,110602,121511,7679418359,11474385
253,7,관광 민예품 및 선물용품 소매업,612289638,113180.0,74386,80710,2684678074,6122684
254,7,그외 기타 분류안된 오락관련 서비스업,27045838,4420.0,552,589,18737155,270449
255,7,그외 기타 스포츠시설 운영업,96666753,18390.0,2572,2898,208231310,966634
256,7,그외 기타 종합 소매업,220778158,40830.0,149017,181487,10980117380,2207705
257,7,기타 갬블링 및 베팅업,2219477,30.0,107,126,777696952,22194
258,7,기타 대형 종합 소매업,202009207,36880.0,416141,488975,24695213960,2020022
259,7,기타 수상오락 서비스업,28253880,4450.0,258,264,42121500,282529
260,7,기타 외국식 음식점업,763040667,150610.0,65639,68752,2458408342,7630142
261,7,기타 주점업,416123834,84580.0,25923,28017,5322888085,4161094
262,7,기타음식료품위주종합소매업,644171244,131250.0,339579,395336,14912173496,6441489
263,7,내항 여객 운송업,61147721,12260.0,36402,37672,1115861900,611456
264,7,마사지업,38747244,6920.0,440,478,56147010,387459
265,7,면세점,110993750,20050.0,272401,408645,28721610659,1109899
266,7,버스 운송업,605221,50.0,3,3,1563000,6052
267,7,비알콜 음료점업,1231237407,231010.0,433657,474949,5002670327,12311947
268,7,빵 및 과자류 소매업,1183002834,227900.0,381804,412337,5661718711,11829618
269,7,서양식 음식점업,1483718264,278600.0,542543,592706,13583759335,14836668
270,7,수산물 소매업,827614907,163990.0,81439,90303,6836730555,8275862
271,7,슈퍼마켓,1566832948,298390.0,1569902,1890364,50168965824,15667786
272,7,스포츠 및 레크레이션 용품 임대업,880485441,170390.0,118161,130529,10672421062,8804549
273,7,여관업,755366001,141040.0,139231,159045,16182123715,7553398
274,7,여행사업,165683647,30230.0,13050,13547,2293731943,1656779
275,7,욕탕업,494246143,96240.0,29260,32378,654938145,4942290
276,7,육류 소매업,811065833,162700.0,78357,84174,6148539569,8110377
277,7,일반유흥 주점업,399981874,77930.0,51300,57266,11855963748,3999680
278,7,일식 음식점업,1079683750,211180.0,166350,170527,11782839193,10796463
279,7,자동차 임대업,234095420,43900.0,66994,67580,6451097163,2340873
280,7,전시 및 행사 대행업,526726870,98480.0,122609,141492,4426112786,5267086
281,7,정기 항공 운송업,31482492,5800.0,104872,104811,18424016172,314814
282,7,중식 음식점업,1102683148,215520.0,157797,166016,4872081657,11026449
283,7,차량용 가스 충전업,525311421,107690.0,43906,45859,2452490639,5252932
284,7,차량용 주유소 운영업,1302658885,263050.0,860254,906610,47319969410,13026137
285,7,체인화 편의점,1880265319,347680.0,3071951,3568609,28459356886,18802001
286,7,택시 운송업,403814,0.0,4,5,620000,4038
287,7,"피자, 햄버거, 샌드위치 및 유사 음식점업",979179864,182020.0,373013,403691,5309027950,9791459
288,7,한식 음식점업,1938774549,360700.0,2728429,2916207,120715289319,19387073
289,7,호텔업,226226247,43050.0,50411,58992,19044787243,2262184
290,7,화장품 및 방향제 소매업,572313352,107680.0,66936,73572,3302873975,5722935
291,7,휴양콘도 운영업,249843966,48020.0,57911,71099,7457896462,2498353
292,8,건강보조식품 소매업,239955412,47360.0,4926,5174,1721149038,2399459
293,8,골프장 운영업,218960280,45910.0,89038,96560,15298191726,2189516
294,8,과실 및 채소 소매업,1173514120,232840.0,119302,130913,8365321490,11734676
295,8,관광 민예품 및 선물용품 소매업,640141076,118810.0,86680,94011,2970649318,6401157
296,8,그외 기타 분류안된 오락관련 서비스업,32494688,5610.0,1131,1235,36504470,324934
297,8,그외 기타 스포츠시설 운영업,103729612,19860.0,3688,4281,293981433,1037255
298,8,그외 기타 종합 소매업,224411396,42440.0,155466,186344,12081748320,2244025
299,8,기타 갬블링 및 베팅업,1412656,0.0,74,94,583300000,14126
300,8,기타 대형 종합 소매업,207659932,37990.0,417412,485146,24205988440,2076517
301,8,기타 수상오락 서비스업,31081332,4970.0,298,307,52704900,310801
302,8,기타 외국식 음식점업,768697872,151000.0,69015,72336,2590860253,7686674
303,8,기타 주점업,424201916,85820.0,26060,28084,5282876091,4241851
304,8,기타음식료품위주종합소매업,653256196,133020.0,368499,424524,16636371642,6532303
305,8,내항 여객 운송업,64579260,12830.0,45799,47204,1541213500,645767
306,8,마사지업,43994844,7840.0,487,513,57023600,439931
307,8,면세점,109985060,19320.0,301227,471840,34025111349,1099807
308,8,버스 운송업,403516,0.0,7,7,3250000,4035
309,8,비알콜 음료점업,1243158980,232330.0,463116,504970,5329687945,12431097
310,8,빵 및 과자류 소매업,1211465824,233300.0,412646,444651,6192964362,12114178
311,8,서양식 음식점업,1520051256,284490.0,596802,651503,15134009426,15199910
312,8,수산물 소매업,852444592,169910.0,88054,97924,7404288197,8524108
313,8,슈퍼마켓,1587634136,301910.0,1616431,1933858,53400132989,15875712
314,8,스포츠 및 레크레이션 용품 임대업,869595672,167050.0,97753,107683,8524237817,8695612
315,8,여관업,780997060,146370.0,150479,171443,18641116379,7809661
316,8,여행사업,174767028,30910.0,15256,15785,2473844883,1747601
317,8,욕탕업,460950372,90330.0,29123,32132,685329717,4609321
318,8,육류 소매업,837709308,168580.0,86979,93918,7311246652,8376761
319,8,일반유흥 주점업,406440212,79180.0,51596,57558,11604585617,4064241
320,8,일식 음식점업,1082714220,213620.0,174742,178816,12545475563,10826713
321,8,자동차 임대업,237122600,44370.0,74437,75045,8442105294,2371132
322,8,전시 및 행사 대행업,547922020,101310.0,151376,175251,5514376980,5479003
323,8,정기 항공 운송업,31280340,5710.0,91479,91934,14233880531,312791
324,8,중식 음식점업,1134571976,221230.0,165013,173069,5137306568,11345270
325,8,차량용 가스 충전업,515624640,106170.0,45016,46949,2377391417,5156042
326,8,차량용 주유소 운영업,1319422104,266420.0,916826,965481,50377700313,13193698
327,8,체인화 편의점,1922449208,355580.0,3372687,3894575,31315893457,19223730
328,8,택시 운송업,1614664,270.0,8,8,237300,16146
329,8,"피자, 햄버거, 샌드위치 및 유사 음식점업",996941420,185750.0,394076,425827,5616780117,9969019
330,8,한식 음식점업,1972893708,366520.0,2900846,3091918,128466561878,19728155
331,8,호텔업,244797604,46550.0,60324,70232,21318437554,2447879
332,8,화장품 및 방향제 소매업,586042832,110960.0,68470,75535,3440428978,5860196
333,8,휴양콘도 운영업,263367340,50240.0,76140,95383,9816823117,2633569
334,9,건강보조식품 소매업,261542064,51080.0,6846,7177,2336387934,2615304
335,9,골프장 운영업,217749611,45510.0,83546,89603,14177386144,2177399
336,9,과실 및 채소 소매업,1202975949,240270.0,125867,137963,12284696774,12029223
337,9,관광 민예품 및 선물용품 소매업,619961448,113220.0,71052,77339,2920013779,6199338
338,9,그외 기타 분류안된 오락관련 서비스업,23210235,3730.0,752,818,24482700,232092
339,9,그외 기타 스포츠시설 운영업,95659166,18220.0,2777,3186,203170800,956549
340,9,그외 기타 종합 소매업,270426360,50420.0,145022,173135,18410010434,2704143
341,9,기타 갬블링 및 베팅업,1008945,0.0,79,98,592200000,10089
342,9,기타 대형 종합 소매업,205040044,37480.0,370338,430446,23421194609,2050309
343,9,기타 수상오락 서비스업,24419689,3950.0,201,208,48019400,244186
344,9,기타 외국식 음식점업,762440002,151020.0,67462,70417,2541254883,7624060
345,9,기타 주점업,425207463,86640.0,27070,29045,5529907969,4251885
346,9,기타음식료품위주종합소매업,639935039,130590.0,315076,361564,16263378392,6399065
347,9,내항 여객 운송업,60543500,12160.0,32776,34014,1152558400,605408
348,9,마사지업,42784908,7650.0,467,489,56834010,427830
349,9,면세점,109379878,19900.0,275867,418674,29482143538,1093750
350,9,버스 운송업,605227,70.0,8,9,15750000,6052
351,9,비알콜 음료점업,1204609321,225960.0,380858,415993,4257265434,12045556
352,9,빵 및 과자류 소매업,1198955069,231890.0,394131,422996,6503369573,11989016
353,9,서양식 음식점업,1468791002,275190.0,481965,525529,12130901668,14687255
354,9,수산물 소매업,850424126,169900.0,87358,96851,9580860743,8503862
355,9,슈퍼마켓,1556152499,297810.0,1504378,1794144,51936999466,15560831
356,9,스포츠 및 레크레이션 용품 임대업,855871869,165190.0,99926,110305,11075019113,8558337
357,9,여관업,721866493,137270.0,116744,134200,14682127392,7218343
358,9,여행사업,162657954,30000.0,10247,10671,2265088622,1626507
359,9,욕탕업,494856268,98150.0,30684,33886,757276725,4948342
360,9,육류 소매업,817325950,166220.0,84950,91323,9088090740,8172895
